,Unnamed: 0,training day,DoB,exp_date,exp_name,mice_id,gender,total_trial,time_stim_begin,num_stim,num_enter,contrast,distance,comment,num_exp,exp_starttime,timestamp,latency_to_maxSpeed,mean_speed,max_instance_speed2safezone,max_instance_speed2water,max_instance_speed_before,mean_speed_before,speed_var_before,pause_times_before,coefficiency_speed,index_max_frequency,duration_high_speed,longest_immobile_duration,first_immobile_start,total_immobile_duration,x_loc_looming,x_loc_off,x_loc_end,x_loc_exit,x_loc_distance_duration_high_speed,exit_idx,enter_idx,trial_end_idx,back_to_track_idx,duration_reward,furthest_loc,furthest_idx,nearest_back_loc,nearest_back_idx,furthest_loc_after_esc,nearest_back_loc_after_esc,reach_safe_idx,neck_nose_angle_at_looming,tailbase_nose_angle_at_looming,x_loc_immobile,max_speedS,nPeriodS,speed_fold,escape_distance,escape_max_acc,escape_acc_var,nPeriodW,durationsM,sum_duration_lsM,latency_to_first_escape,back_idx_after_flee,fastest_escape_start,freeze_start,first_freeze_duration,freeze_end,duration_between_escape_and_freeze,binary_occasion,trial_recheck,idm_id,trial_index,manual_label,stim_omit,unsure,comment_y,isDefensive,whichDecision_new,ignore_probability,escape_probability,freeze_probability,freeze_escape_probability,x_loc_off_to_sz,x_loc_end_to_sz,x_loc_exit_to_sz,x_loc_change,exit_time_after_looming,end_time_after_looming,reach_safe_time_after_looming,escape_to_reach_safe_time,decision_latency,first_decision,decision_latency_new,escape_start_shelter,flee_at_n_looming,back_idx_after_flee_shelter,day_key
2167,2167,day5,20230830,20231126,test,idm25_8033,male,55,11:23:00,31.0,25.0,1.0,0.192572212,,1,10:27:11,2023_11_26_11_23_00_515386,0.9666666666666667,4.671705866641733,133.3978775767509,13.099596865391362,-41.00858117369656,-8.804172443149833,157.76792965357657,1.0,2.5955181656362742,6,0.23333333333333334,2.2333333333333334,2.2333333333333334,6.166666666666667,20.015299910891912,114.98379217092175,116.07113752693965,115.39079121421862,27.290192378926978,900,0,364,-2,0.0,117.12160922994032,502,109.68006605108404,807,116.14227764423079,109.68006605108404,339.0,-176.26638870988455,-174.31606198730654,114.71306288337202,67.34893266157775,2,-2.874734361925008,94.12114377616255,0.1609493988726336,2.2685646990859505,4,0.0,0.0,0.4,21.0,0.4,20.0,,,,0,55,idm25,idm25_55,1.0,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-14.983792170921747,-16.07113752693965,-15.39079121421862,96.05583761604775,20.0,2.1333333333333333,1.3,0.9,0.4,1,0.4,0.4,1.0,,idm25_day5
3926,3926,day16,20240328,20240619,test,idm33_5_0933,male,15,14:00:08,9.0,14.0,1.0,0.197050672,,1,,2024_06_19_14_00_08_793595,0.9666666666666667,45.730329009205306,113.6318874625006,2.3049899713304165,-42.98747532364322,-11.948172149460987,127.0326777239835,1.0,0.8423129054252108,0,0.26666666666666666,0.03333333333333333,0.1,0.03333333333333333,23.31295493047497,115.49853832223513,115.49853832223513,115.49853832223513,26.929242930930872,362,49,362,-2,0.0,115.49853832223513,361,115.49853832223513,361,115.49853832223513,115.49853832223513,342.0,-158.8361945804687,-171.99690852449183,23.318891530327836,58.46717114878226,2,-2.044401900330393,91.55083616904867,-0.0820655032065373,0.5333581620650902,8,0.0,0.0,0.4666666666666667,21.0,0.4666666666666667,20.0,,,,1,15,idm33_5,idm33_5_15,,,,,1.0,1.0,0.0,0.9974663468666818,0.0,0.0025336531333186,-15.498538322235136,-15.498538322235136,-15.498538322235136,92.18558339176018,2.066666666666667,2.066666666666667,1.4,0.9333333333333333,0.4666666666666667,1,0.4666666666666667,0.4666666666666667,1.0,,idm33_5_day16
2132,2132,day4,20230830,20231125,test,idm25_8033,male,20,12:21:20,12.0,9.0,1.0,0.197050672,,0,11:33:12,2023_11_25_12_21_20_797201,0.9666666666666667,4.55770681493553,109.54079374710864,11.179210440942596,-33.86631566745377,-1.4013598271227123,429.8156128082731,0.0,3.003787737798615,2,0.3333333333333333,1.2,2.3,5.7,21.623342984551147,117.06920382957561,116.21613892572944,114.28758211414126,33.18368166005264,893,0,366,-2,0.0,117.38864856183687,420,113.03011542606102,868,116.63346397339191,113.03011542606102,339.0,179.01741784622942,176.47597367623206,116.86755532990716,63.93543858891577,1,-2.7604809905423995,91.86539991464792,-0.1747936453975672,0.4796824501714286,6,0.0,0.0,0.3333333333333333,21.0,0.3333333333333333,20.0,,,,0,20,idm25,idm25_20,1.0,,,,1.0,1.0,0.0,0.997324736425623,0.0001612903225806,0.0025139732517966,-17.069203829575603,-16.21613892572944,-14.287582114141248,94.59279594117831,19.766666666666666,2.2,1.3,0.9666666666666667,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,1.0,,idm25_day4
4998,4998,day3,20240606,20240809,test,idm42_7393,male,12,11:59:09,12.0,8.0,1.0,0.197050672,,0,,2024_08_09_11_59_09_455725,0.9333333333333333,4.490086691547687,108.99822107566872,13.317537331689923,-14.807302902250788,0.6239660235047768,40.1789982498616,4.0,3.198853032371184,1,0.3,2.533333333333333,2.3333333333333335,5.433333333333334,18.370286207932693,116.64161192390583,115.67091009408156,111.33327764077698,28.28223491175782,900,0,377,-2,0.0,117.25562883372015,524,110.22267697281168,801,115.67347454202589,110.22267697281168,344.0,-174.84083464825238,-163.99425232311737,115.6555726230935,72.36596866697244,1,-5.641833510259642,92.67063648820873,0.069841868729384,0.7068979306301132,2,0.0,0.0,0.43333333333333335,21.0,0.43333333333333335,20.0,,,,0,12,idm42,idm42_12,,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-16.641611923905828,-15.670910094081556,-11.333277640776975,97.30062388614887,20.0,2.566666666666667,1.4666666666666666,1.0333333333333334,0.43333333333333335,1,0.43333333333333335,0.43333333333333335,1.0,,idm42_day3
2136,2136,day4,20230830,20231125,test,idm25_8033,male,24,12:33:03,14.0,11.0,1.0,0.197050672,,0,11:33:12,2023_11_25_12_33_03_919745,0.9333333333333333,4.759684069624357,123.31821218709293,6.085463289582368,-33.31018338613758,-7.791755909691741,72.45590555749493,3.0,3.6637398085657886,0,0.26666666666666666,1.4333333333333333,2.3666666666666667,7.066666666666666,21.73892835217382,116.27743570747681,115.4923234934516,114.98738498839523,29.43770285689863,900,0,362,-2,0.0,116.28613410767576,536,114.98738498839523,899,116.16225832020886,114.98738498839523,339.0,151.00707547830694,156.17733741943823,115.2055405027354,59.98867770982732,1,-2.707935552186714,93.19338722127819,-0.1746163914310264,0.642234367408896,4,0.0,0.0,0.4,21.0,0.4,20.0,,,,0,24,idm25,idm25_24,1.0,,,,1.0,1.0,0.0,0.9978510522150966,0.0001612903225806,0.0019876574623229,-16.2774357074768,-15.492323493451588,-14.987384988395226,93.75339514127778,20.0,2.066666666666667,1.3,0.9,0.4,1,0.4,0.4,1.0,,idm25_day4
2415,2415,day4,20231027,20240118,test,idm26_5_0873,male,27,12:47:45,10.0,13.0,1.0,0.197050672,,0,11:41:55,2024_01_18_12_47_45_790253,0.9333333333333333,27.79368929956969,88.63863288632389,8.021451855015737,-9.176591275463636,1.250106681332185,44.80796138249004,3.0,1.007000382041831,0,0.3,0.0,,0.0,21.04721530742291,119.0457803978637,119.0457803978637,119.0457803978637,23.77014500139879,406,0,406,-2,0.0,119.0457803978637,405,119.0457803978637,405,118.8102660898341,118.8102660898341,351.0,-159.8867492680969,178.44038786235248,21.601171842620605,52.62468864455943,2,,90.77016912404676,-0.1083717677155598,0.4124497030478268,0,0.0,0.0,0.4666666666666667,21.0,0.4666666666666667,20.0,,,,0,27,idm26_5,idm26_5_27,,,,,1.0,1.0,0.0,0.9964330135333485,0.0,0.0035669864666519,-19.045780397863687,-19.045780397863687,-19.045780397863687,97.99856509044078,3.533333333333333,3.533333333333333,1.7,1.2333333333333334,0.4666666666666667,1,0.4666666666666667,0.4666666666666667,1.0,,idm26_5_day4
2423,2423,day4,20231027,20240118,test,idm26_5_0873,male,35,13:16:14,14.0,19.0,1.0,0.192572212,,0,11:41:55,2024_01_18_13_16_14_552718,0.9333333333333333,4.644704040779564,87.38975096125341,1.8274225797662704,-25.2414788409232,-9.51685667503732,36.968267804458286,0.0,3.354041234561429,0,0.3333333333333333,5.1,0.1,12.133333333333333,21.367634983214526,113.3789774846651,112.681654871933,113.06629184281056,26.070891524499547,900,0,383,-2,0.0,113.4130457870524,518,112.77912720697945,585,112.69304853282493,112.614085554128,350.0,-163.52776239525858,-177.16375537651396,112.81282638428381,51.89894891878272,1,-2.6187665548440906,87.91747167234819,-0.0756768594369921,0.3066812944780197,10,0.0,0.0,0.43333333333333335,21.0,0.43333333333333335,20.0,,,,0,35,idm26_5,idm26_5_35,,,,,1.0,1.0,0.0,0.9967282162791028,0.0004112903225806,0.0028604933983168,-13.378977484665096,-12.681654871933,-13.066291842810559,91.31401988871849,20.0,2.7666666666666666,1.6666666666666667,1.2333333333333334,0.43333333333333335,1,0.43333333333333335,0.43333333333333335,1.0,,idm26_5_day4
2175,2175,day5,20230830,20231126,test,idm25_8033,male,63,12:26:40,37.0,31.0,1.0,0.197050672,,1,10:27:11,2023_11_26_12_26_40_521939,0.9,4.814426449973424,115.60220214963012,13.72722161914059,-12.090608835058292,-1.172949585117725,9.082394213258551,3.0,2.924652801162942,0,0.26666666666666666,1.2333333333333334,0.1,5.633333333333334,21.44730431837492,115.26894194504311,116.36674843542772,114.27590178768789,27.767742029488556,900,0,393,-2,0.0,117.10750476624669,486,111.41069892863064,768,116.38660606971155,111.41069892863064,344.0,169.43228309950248,168.22802110267634,116.32365275820625,47.89853760919397,1,-4.24996703825747,91.2955557016226,-0.0580320686529515,0.6163164867900067,2,0.0,0.0,0.3333333333333333,21.0,0.3333333333333333,20.0,,,,0,63,idm25,idm25_63,1.0,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-15.268941945043109,-16.366748435427716,-14.275901787687879,94.9194441170528,20.0,3.1,1.4666666666666666,1.1333333333333333,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,1.0,,idm25_day5
2169,2169,day5,20230830,20231126,test,idm25_8033,male,57,11:28:49,33.0,27.0,1.0,0.197050672,,1,10:27:11,2023_11_26_11_28_49_156743,0.9,4.524414854193973,126.50008885647983,9.454438905132443,-37.13461478481564,-9.036656228112598,97.71718468179664,1.0,3.2743102387756653,1,0.3,2.1666666666666665,2.933333333333333,7.1,21.939897855966098,115.90716309888926,116.03192737690652,113.2554479408433,34.223253326011275,900,0,372,-2,0.0,117.19732390790783,459,111.79372642780173,832,116.1059129952752,111.79372642780173,338.0,-174.84471978265626,-177.28074811354338,115.87102122015915,60.63875628300103,1,-2.3312717219172447,91.37440049553425,-0.1005358304695118,0.9579051878555483,6,0.0,0.0,0.4,21.0,0.4,20.0,,,,0,57,idm25,idm25_57,1.0,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-15.907163098889248,-16.031927376906513,-13.25544794084329,94.09202952094043,20.0,2.4,1.2666666666666666,0.8666666666666667,0.4,1,0.4,0.4,1.0,,idm25_day5
2404,2404,day4,20231027,20240118,test,idm26_5_0873,male,16,12:16:11,6.0,8.0,1.0,0.067175348,,0,11:41:55,2024_01_18_12_16_11_826375,0.9,28.149866281127867,104.90300316978906,2.8867409057338165,-5.292898048114671,-0.2947543773718717,1.5949196031568544,2.0,1.276347719413654,0,0.36666666666666664,0.3333333333333333,2.8,0.3333333333333333,8.601168847526733,113.56990365619475,111.12714869653516,113.56990365619475,34.29279155377052,414,0,387,-2,0.6,113.56990365619475,413,113.56990365619475,413,111.30758869363396,111.30758869363396,347.0,-169.11875375640707,165.74910301128824,111.15582000165783,64.42267645547061,1,,100.64969151342578,-0.1457603058290065,0.3428809104796496,0,0.0,0.0,0.4,21.0,0.4,20.0,,,,0,16,idm26_5,idm26_5_16,,,,,1.0,1.0,0.0,0.9962519358391126,0.00025,0.0034980641608875,-13.569903656194748,-11.12714869653516,-13.569903656194748,102.52597984900842,3.8,2.9,1.5666666666666667,1.1666666666666667,0.4,1,0.4,0.4,1.0,,idm26_5_day4
2373,2373,day5,20231027,20240119,test,idm26_4_80C3,male,88,10:36:58,54.0,41.0,1.0,0.197050672,,1,09:20:38,2024_01_19_10_36_58_292524,0.4666666666666667,-0.0748517345270208,0.3056174589721099,8.604697981491224,-23.882944149386667,-8.650140731570435,55.74235968821247,1.0,6.538874880765186,4,0.03333333333333333,16.333333333333332,0.3333333333333333,19.5,21.239409186163382,20.418373816209385,20.398216888400754,20.398216888400754,0.0,900,0,900,-1,0.0,21.239409186163382,300,20.363669802718835,308,,,900.0,-175.0413361284513,-173.40791829521828,20.408360974542028,0.0,0,,0.0,0.0,,0,16.333333333333332,19.2,20.0,-0.03333333333333333,20.0,0.3333333333333333,16.333333333333332,19.7,,0,88,idm26_4,idm26_4_88,2.0,,,,1.0,2.0,0.0539421912428663,0.0,0.94423557684418,0.0018222319129537,79.58162618379062,79.60178311159925,79.60178311159925,-0.8411922977626274,20.0,20.0,20.0,0.0,0.3333333333333333,2,0.3333333333333333,10.3,11.0,,idm26_4_day5
2127,2127,day4,20230830,20231125,test,idm25_81A3,male,15,12:06:39,7.0,6.0,1.0,0.197050672,,0,11:33:12,2023_11_25_12_06_39_518554,0.5666666666666667,-0.2083799487009958,0.2082238930712146,16.21580515907354,-36.0429778626529,-18.44478390649981,131.55475667042384,1.0,6.495857726202792,7,0.03333333333333333,19.533333333333335,0.4666666666666667,19.533333333333335,18.53069388392117,15.32928806780504,15.331322141288133,15.331322141288133,0.0,900,140,900,-1,0.0,18.53069388392117,300,15.287950429739311,330,,,900.0,-179.36844180765263,-171.04221346076895,15.331322141288133,0.0,0,,0.0,0.0,,0,19.533333333333335,19.533333333333335,20.0,-0.03333333333333333,20.0,0.4666666666666667,19.533333333333335,20.0,,0,15,idm25,idm25_15,2.0,,,,1.0,2.0,0.0574068799293004,0.0,0.9409708881577457,0.0016222319129537,84.67071193219496,84.66867785871187,84.66867785871187,-3.1993717426330366,20.0,20.0,20.0,0.0,0.4666666666666667,2,0.4666666666666667,10.3,11.0,,idm25_day4
2377,2377,day5,20231027,20240119,test,idm26_4_80C3,male,92,10:44:47,57.0,42.0,1.0,0.197050672,,1,09:20:38,2024_01_19_10_44_47_722860,0.5,-0.2332238795827466,0.310357575035838,24.86572934903018,-34.05089078167932,-9.628909613329398,121.4189110238702,2.0,7.709151066659224,0,0.03333333333333333,19.6,0.4,19.6,18.217519097366132,15.18945992467258,15.177843547520864,15.177843547520864,0.0,900,0,900,-1,0.0,18.217519097366132,300,15.123222209414374,309,,,900.0,162.98800520521664,175.0855526946506,15.177843547520864,0.0,0,,0.0,0.0,,0,19.6,19.6,20.0,-0.03333333333333333,20.0,0.4,19.6,20.0,,0,92,idm26_4,idm26_4_92,2.0,,,,1.0,2.0,0.0584447587171792,0.0,0.9399330093698668,0.0016222319129537,84.81054007532742,84.82215645247913,84.82215645247913,-3.039675549845269,20.0,20.0,20.0,0.0,0.4,2,0.4,10.3,11.0,,idm26_4_day5
