,mice_id,num_stim,condition,decision_score,duration_reward,max_instance_speed2safezone,distance_under_threat,latency_to_first_escape,latent1D,change_trial
226,idm40_07D3,5,water_low,2,6.533333333,34.29196078,-0.219595912,8.2,-7.320768066021317,8
227,idm40_07D3,6,water_low,0,13.36666667,13.98037912,-11.50177148,7.866666667,14.625712275894292,8
228,idm40_07D3,7,water_low,2,8.666666667,40.88832705,-9.491052602,8.733333333,-11.685241068453823,8
229,idm40_07D3,8,water_low,0,9.2,28.99588225,-7.197699509,9.5,-0.5148505492840293,8
230,idm40_07D3,9,water_low,0,18.86666667,4.387281282,-10.77067449,20.0,27.726754358876377,8
231,idm40_07D3,10,water_low,0,8.933333333,34.07570441,-10.97585088,10.63333333,-4.589097701978302,8
202,idm40_72F3,1,water_low,2,0.0,52.99670145,97.96016428,1.633333333,-49.07984947576335,4
203,idm40_72F3,2,water_low,2,8.866666667,57.02609368,-9.121736036,8.6,58.319977948891086,4
204,idm40_72F3,3,water_low,2,5.766666667,51.74567822,73.49333907,5.833333333,-24.056417051167447,4
205,idm40_72F3,4,water_low,2,5.633333333,49.71722095,2.149401435,8.1,47.164832191667855,4
206,idm40_72F3,5,water_low,2,4.733333333,51.39235611,21.91196334,4.9,27.170804271825606,4
207,idm40_72F3,6,water_low,2,4.666666667,56.0482822,55.8691403,6.566666667,-6.711008133058769,4
208,idm40_72F3,7,water_low,0,11.26666667,56.75391643,-7.931268019,11.06666667,57.46323985031101,4
209,idm40_72F3,8,water_low,2,1.233333333,61.01008032,103.2809499,1.033333333,-54.65945211393326,4
210,idm40_72F3,9,water_low,2,3.0,64.16465049,99.96124268,3.033333333,-51.24667211913268,4
211,idm40_72F3,10,water_low,2,7.433333333,50.66707142,53.73488517,3.933333333,-4.365455369640014,4
212,idm40_78F3,1,water_low,2,3.3,47.91540774,88.13292453,5.166666667,-21.787219310043422,3
213,idm40_78F3,2,water_low,2,0.0,70.82268831,26.93255826,7.466666667,36.77223987140877,3
214,idm40_78F3,3,water_low,2,4.666666667,48.74165477,57.53910492,5.366666667,8.575581911989588,3
215,idm40_78F3,4,water_low,0,9.433333333,33.19998551,-9.304578948,9.333333333,76.87944794112303,3
216,idm40_78F3,5,water_low,2,0.366666667,75.90692022,95.09707779,2.833333333,-31.63021778089986,3
